"Probiotic" "Diet" "Shannon.diversity"
"1" "Yes" "Highfibre" 6.6
"2" "Yes" "Highfibre" 5.36
"3" "Yes" "Highfibre" 5.32
"4" "Yes" "Highfibre" 7
"5" "Yes" "Highfibre" 7.32
"6" "Yes" "Highfibre" 6.1
"7" "Yes" "Highfibre" 6.1
"8" "Yes" "Highfibre" 4.59
"9" "Yes" "Highfibre" 4.92
"10" "Yes" "Highfibre" 6.82
"11" "Yes" "Highfibre" 6.22
"12" "Yes" "Highfibre" 6.59
"13" "Yes" "Highfibre" 6.92
"14" "Yes" "Highfibre" 6.72
"15" "Yes" "Highfibre" 6.26
"16" "Yes" "Highfibre" 6.07
"17" "Yes" "Highfibre" 6.1
"18" "Yes" "Highfibre" 6.6
"19" "Yes" "Highfibre" 6.09
"20" "Yes" "Highfibre" 6.8
"21" "Yes" "Highfibre" 6.81
"22" "Yes" "Highfibre" 5.69
"23" "Yes" "Highfibre" 5.98
"24" "Yes" "Highfibre" 5.53
"25" "Yes" "Highfibre" 6.03
"26" "Yes" "Highfibre" 5.16
"27" "Yes" "Highfibre" 6.31
"28" "Yes" "Highfibre" 5.96
"29" "Yes" "Highfibre" 5.45
"30" "Yes" "Highfibre" 6.6
"31" "Yes" "Normal" 5.83
"32" "Yes" "Normal" 5.86
"33" "Yes" "Normal" 5.01
"34" "Yes" "Normal" 6.75
"35" "Yes" "Normal" 7.7
"36" "Yes" "Normal" 6.42
"37" "Yes" "Normal" 5.95
"38" "Yes" "Normal" 5.99
"39" "Yes" "Normal" 6.34
"40" "Yes" "Normal" 5.7
"41" "Yes" "Normal" 7.52
"42" "Yes" "Normal" 6.21
"43" "Yes" "Normal" 6.44
"44" "Yes" "Normal" 5.34
"45" "Yes" "Normal" 6.39
"46" "Yes" "Normal" 5.71
"47" "Yes" "Normal" 4.74
"48" "Yes" "Normal" 7.01
"49" "Yes" "Normal" 5.34
"50" "Yes" "Normal" 6.36
"51" "Yes" "Normal" 5.44
"52" "Yes" "Normal" 4.07
"53" "Yes" "Normal" 5.87
"54" "Yes" "Normal" 6.39
"55" "Yes" "Normal" 5.78
"56" "Yes" "Normal" 5.94
"57" "Yes" "Normal" 6.65
"58" "Yes" "Normal" 5.74
"59" "Yes" "Normal" 4.91
"60" "Yes" "Normal" 5.65
"61" "No" "Highfibre" 3.46
"62" "No" "Highfibre" 3.35
"63" "No" "Highfibre" 4.05
"64" "No" "Highfibre" 1.99
"65" "No" "Highfibre" 3.54
"66" "No" "Highfibre" 3.86
"67" "No" "Highfibre" 5.02
"68" "No" "Highfibre" 3.59
"69" "No" "Highfibre" 2.19
"70" "No" "Highfibre" 4.15
"71" "No" "Highfibre" 2.97
"72" "No" "Highfibre" 2.65
"73" "No" "Highfibre" 3.08
"74" "No" "Highfibre" 2.54
"75" "No" "Highfibre" 3.77
"76" "No" "Highfibre" 3.62
"77" "No" "Highfibre" 2.71
"78" "No" "Highfibre" 3.38
"79" "No" "Highfibre" 4.48
"80" "No" "Highfibre" 4.36
"81" "No" "Highfibre" 4.26
"82" "No" "Highfibre" 2.48
"83" "No" "Highfibre" 2.7
"84" "No" "Highfibre" 4.31
"85" "No" "Highfibre" 4.32
"86" "No" "Highfibre" 4.08
"87" "No" "Highfibre" 3.84
"88" "No" "Highfibre" 3.66
"89" "No" "Highfibre" 4.34
"90" "No" "Highfibre" 3.84
"91" "No" "Normal" 2.05
"92" "No" "Normal" 1.62
"93" "No" "Normal" 0.62
"94" "No" "Normal" 3.26
"95" "No" "Normal" 1.71
"96" "No" "Normal" 2.08
"97" "No" "Normal" 1.78
"98" "No" "Normal" 2.39
"99" "No" "Normal" 3.43
"100" "No" "Normal" 1.3
"101" "No" "Normal" 3.38
"102" "No" "Normal" 0.96
"103" "No" "Normal" 2.75
"104" "No" "Normal" 1.83
"105" "No" "Normal" 2.67
"106" "No" "Normal" 2.63
"107" "No" "Normal" 1.27
"108" "No" "Normal" 1.87
"109" "No" "Normal" 0.63
"110" "No" "Normal" 1.59
"111" "No" "Normal" 2.07
"112" "No" "Normal" 2.59
"113" "No" "Normal" 2.72
"114" "No" "Normal" 1.72
"115" "No" "Normal" 2.13
"116" "No" "Normal" 0.07
"117" "No" "Normal" 1.72
"118" "No" "Normal" 0.86
"119" "No" "Normal" 2.43
"120" "No" "Normal" 2.37
